title,pokemon_name,set_name,card_number,rarity_class,language,category,condition_std,is_graded,grading_company,numeric_grade,is_holo,is_full_art,is_v_card,is_ex_card,is_gx_card,is_promo,is_shadowless,is_1st_edition,is_rainbow,is_gold,price,currency,price_usd,price_tier_usd,seller_country,seller_listing_count,ships_worldwide,image_count,days_since_sold,sale_month,sale_year
Ceruledge ex SAR 203/187 SV8a Terastal Fest ex - Pokemon Card Japanese,Ceruledge,SV8A,203/187,SAR,Japanese,Single Cards,Near Mint,0,,,0,0,0,1,0,0,0,0,0,0,15.43,GBP,20.99,Uncommon,United Kingdom,15,0,2,2.0,5.0,2026.0
Zacian V Holo SAR 225/172 S12a VSTAR Universe Japanese Pokemon Card,Zacian,S12A,225/172,SAR,Japanese,Single Cards,Near Mint,0,,,1,0,1,0,0,0,0,0,0,0,11.15,GBP,15.17,Uncommon,United Kingdom,15,0,2,2.0,5.0,2026.0
Piplup AR 085/080 M2 Japanese Pokemon Card Japanese from Inferno X Set,Piplup,INFERNO X,085/080,AR,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,2.91,GBP,3.96,Common,United Kingdom,15,0,2,2.0,5.0,2026.0
POKEMON Card Kyurem EX 25/98 XY Ancient Origins Holo Near Mint Free P&P,Kyurem,XY,25/98,Unknown,English,Single Cards,Near Mint,0,,,1,0,0,1,0,0,0,0,0,0,2.29,GBP,3.12,Common,United Kingdom,15,0,2,2.0,5.0,2026.0
Pokemon Card Vulpix AR 067/063 M1L Mega Brave Japanese NM,Vulpix,MEGA BRAVE,067/063,AR,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,1.99,GBP,2.71,Common,United Kingdom,15,0,2,2.0,5.0,2026.0
Pokemon Card Ivysaur 065/063 AR Mega Brave Japanese Near Mint,Ivysaur,MEGA BRAVE,065/063,AR,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,4.04,GBP,5.5,Common,United Kingdom,15,0,2,2.0,5.0,2026.0
Bellibolt AR 104/100 Japanese Pokemon Card NM Full Art,Bellibolt,Unknown,104/100,AR,Japanese,Single Cards,Near Mint,0,,,0,1,0,0,0,0,0,0,0,0,1.99,GBP,2.71,Common,United Kingdom,15,0,2,2.0,5.0,2026.0
Pokemon Card Rattata Shadowless Base Set Common 61/102 NM Condition,Rattata,BASE SET,61/102,Common,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,1,0,0,0,1.99,GBP,2.71,Common,United Kingdom,15,0,2,2.0,5.0,2026.0
Butterfree V 177/189 Darkness Ablaze Ultra Rare Full Art Pokemon Card,Butterfree,DARKNESS ABLAZE,177/189,UR,English,Single Cards,Near Mint,0,,,0,1,1,0,0,0,0,0,0,0,4.58,GBP,6.23,Common,United Kingdom,15,0,2,2.0,5.0,2026.0
Pidgeot EX 221/091 - Paldean Fates - Pokemon Card - Near Mint,Pidgeot,PALDEAN FATES,221/091,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,1,0,0,0,0,0,0,2.84,GBP,3.86,Common,United Kingdom,15,0,2,2.0,5.0,2026.0
Pokemon Card Golisopod GX 129/147 Full Art Ultra Rare Burning Shadows 51,Golisopod,BURNING SHADOWS,129/147,UR,English,Single Cards,Near Mint,0,,,0,1,0,0,1,0,0,0,0,0,1.99,GBP,2.71,Common,United Kingdom,15,0,2,2.0,5.0,2026.0
Espeon BW92 Holo Black And White Promo Pokemon Card,Espeon,BW92,,Unknown,English,Single Cards,Near Mint,0,,,1,0,0,0,0,1,0,0,0,0,53.21,GBP,72.38,Rare,United Kingdom,15,0,3,2.0,5.0,2026.0
Pokemon Card Glaceon - LP Black and White Promos Promo BW90,Glaceon,BW90,,Unknown,English,Single Cards,Lightly Played,0,,,0,0,0,0,0,1,0,0,0,0,32.0,GBP,43.53,Uncommon,United Kingdom,15,0,3,2.0,5.0,2026.0
Pokemon Card Flareon - LP Black and White Promos Promo BW88,Flareon,BW88,,Unknown,English,Single Cards,Lightly Played,0,,,0,0,0,0,0,1,0,0,0,0,29.0,GBP,39.45,Uncommon,United Kingdom,15,0,3,2.0,5.0,2026.0
Pokemon Card Vaporeon - Holo LP Black and White Promos BW89,Vaporeon,BW89,,Unknown,English,Single Cards,Lightly Played,0,,,1,0,0,0,0,0,0,0,0,0,32.0,GBP,43.53,Uncommon,United Kingdom,15,0,3,2.0,5.0,2026.0
CGC 9.5 Meowscarada ex 256/193 SIR Paldea Evolved Pokemon Card-,Unknown,PALDEA EVOLVED,256/193,SIR,English,Single Cards,CGC,1,CGC,,0,0,0,1,0,0,0,0,0,0,39.0,EUR,45.74,Uncommon,Germany,4,1,2,2.0,5.0,2026.0
Milcery S4A 256/190 S Shiny Star V Pokemon Card Japanese,Unknown,S4A,256/190,Unknown,Japanese,Single Cards,Near Mint,0,,,0,0,1,0,0,0,0,0,0,0,2.99,GBP,4.07,Common,United Kingdom,1,0,2,2.0,5.0,2026.0
Rika 241/182 | Paradox Rift | Ultra Rare | Pokemon Card | LP,Unknown,PARADOX RIFT,241/182,UR,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,2.71,GBP,3.69,Common,United Kingdom,2,1,2,2.0,5.0,2026.0
