name,color,rarity,number_seen,alsa,number_picked,ata,number_gp,percent_gp,gp_wr,number_oh,oh_wr,number_gd,gd_wr,number_gih,gih_wr,number_gns,gns_wr,iwd,color_group,rarity_full
Another Round,W,R,64972,6.27,7953,9.59,1690,0.036000000000000004,0.466,259,NA,402,NA,661,0.40399999999999997,1029,0.506,-10.2,Mono-color,Rare
Archangel of Tithes,W,M,9905,2.08,3697,2.15,18171,0.8270000000000001,0.539,2952,0.546,4325,0.5579999999999999,7277,0.5529999999999999,10927,0.529,2.4,Mono-color,Mythic Rare
Armored Armadillo,W,C,378941,7.89,40803,11.61,31423,0.129,0.51,5421,0.5,7265,0.508,12686,0.504,18704,0.513,-0.9,Mono-color,Common
Aven Interrupter,W,R,24080,2.42,8609,2.64,44852,0.866,0.555,7735,0.5660000000000001,10692,0.575,18427,0.5710000000000001,26391,0.5429999999999999,2.8,Mono-color,Rare
Bounding Felidar,W,U,98493,4.11,18079,5.53,86683,0.802,0.546,13034,0.536,20093,0.5539999999999999,33127,0.547,52462,0.544,0.3,Mono-color,Uncommon
Bovine Intervention,W,U,136473,6.33,12508,9.99,18372,0.249,0.507,2815,0.467,4488,0.51,7303,0.494,11046,0.516,-2.3,Mono-color,Uncommon
Bridled Bighorn,W,C,331675,5.83,45982,8.5,179586,0.6459999999999999,0.5489999999999999,29350,0.534,41113,0.542,70463,0.5379999999999999,106849,0.5539999999999999,-1.5,Mono-color,Common
Claim Jumper,W,R,27374,2.68,7264,3.14,37100,0.857,0.541,6654,0.537,8627,0.5479999999999999,15281,0.5429999999999999,21825,0.54,0.3,Mono-color,Rare
Dust Animus,W,R,13874,1.48,10422,1.47,61258,0.951,0.5670000000000001,10868,0.602,15325,0.615,26193,0.61,35091,0.536,7.3,Mono-color,Rare
Eriette's Lullaby,W,C,328024,5.7,40155,8.6,128460,0.536,0.531,21713,0.507,31308,0.545,53021,0.529,75256,0.532,-0.3,Mono-color,Common
Final Showdown,W,M,7883,1.73,4754,1.7,25195,0.866,0.563,4115,0.5770000000000001,6351,0.62,10466,0.603,14685,0.535,6.8,Mono-color,Mythic Rare
"Fortune, Loyal Steed",W,R,19736,2.03,9194,2.12,50984,0.9179999999999999,0.5579999999999999,9058,0.58,12137,0.5720000000000001,21195,0.575,29077,0.5429999999999999,3.2,Mono-color,Rare
Frontier Seeker,W,U,90392,3.75,23474,4.61,123372,0.858,0.568,22249,0.586,28002,0.565,50251,0.574,73064,0.563,1,Mono-color,Uncommon
Getaway Glamer,W,U,97479,4.05,25220,4.92,130368,0.843,0.5660000000000001,21538,0.564,32006,0.597,53544,0.584,76650,0.5529999999999999,3.1,Mono-color,Uncommon
High Noon,W,R,58999,5.77,6611,9.04,3171,0.081,0.49,503,0.461,729,0.495,1232,0.48100000000000004,1936,0.495,-1.4,Mono-color,Rare
Holy Cow,W,C,289990,4.75,49011,6.66,249507,0.838,0.557,43607,0.5579999999999999,58873,0.573,102480,0.5670000000000001,146944,0.55,1.7,Mono-color,Common
Inventive Wingsmith,W,C,375189,7.58,42227,11.13,45954,0.182,0.517,7758,0.499,11016,0.512,18774,0.507,27178,0.524,-1.7,Mono-color,Common
Lassoed by the Law,W,U,58974,2.54,26566,2.8,152891,0.932,0.5720000000000001,25793,0.586,37625,0.622,63418,0.607,89298,0.547,6,Mono-color,Uncommon
Mystical Tether,W,C,212079,3.49,57457,4.38,319723,0.9179999999999999,0.556,54337,0.55,77557,0.58,131894,0.568,187531,0.547,2.1,Mono-color,Common
Nurturing Pixie,W,U,129524,5.52,18152,7.97,57355,0.527,0.544,9625,0.528,13399,0.5539999999999999,23024,0.5429999999999999,34330,0.545,-0.2,Mono-color,Uncommon
Omenport Vigilante,W,U,113567,4.74,19058,6.53,82761,0.7240000000000001,0.545,14560,0.556,18706,0.532,33266,0.5429999999999999,49496,0.546,-0.3,Mono-color,Uncommon
One Last Job,W,R,36105,3.48,7315,4.41,29444,0.675,0.545,4587,0.513,6904,0.5670000000000001,11491,0.546,17921,0.545,0.1,Mono-color,Rare
Outlaw Medic,W,C,336522,5.92,48537,8.51,179405,0.616,0.545,31986,0.5529999999999999,41976,0.5489999999999999,73962,0.551,105321,0.541,1,Mono-color,Common
Prairie Dog,W,U,71725,3.01,21514,3.57,116267,0.895,0.555,21162,0.585,27199,0.555,48361,0.568,67991,0.545,2.3,Mono-color,Uncommon
Prosperity Tycoon,W,U,98439,4,24601,5,126607,0.84,0.565,21089,0.57,30297,0.583,51386,0.578,75233,0.557,2.1,Mono-color,Uncommon
Requisition Raid,W,U,126226,5.46,15555,8.09,43136,0.46,0.539,6697,0.515,9968,0.552,16665,0.537,26459,0.54,-0.3,Mono-color,Uncommon
Rustler Rampage,W,U,146497,6.94,15722,10.49,15260,0.162,0.526,2282,0.5,3489,0.527,5771,0.517,9489,0.531,-1.5,Mono-color,Uncommon
Shepherd of the Clouds,W,U,61962,2.69,25240,3.01,143676,0.9279999999999999,0.565,23211,0.565,35196,0.609,58407,0.591,84941,0.547,4.4,Mono-color,Uncommon
Sheriff of Safe Passage,W,U,124386,5.42,14651,8.01,44523,0.512,0.529,7583,0.517,10191,0.53,17774,0.524,26762,0.5329999999999999,-0.9,Mono-color,Uncommon
Stagecoach Security,W,C,357862,6.61,47941,9.58,144097,0.498,0.552,22488,0.539,33558,0.563,56046,0.5529999999999999,88095,0.552,0.1,Mono-color,Common
Steer Clear,W,C,354512,6.56,45599,9.58,117225,0.42700000000000005,0.545,19162,0.529,26771,0.539,45933,0.535,71196,0.552,-1.8,Mono-color,Common
Sterling Keykeeper,W,C,341844,6.05,53317,8.55,223117,0.69,0.556,39202,0.552,50610,0.555,89812,0.5539999999999999,133220,0.557,-0.3,Mono-color,Common
Sterling Supplier,W,C,352645,6.48,51759,9.21,176839,0.564,0.557,27426,0.546,41959,0.573,69385,0.562,107489,0.5539999999999999,0.8,Mono-color,Common
Take Up the Shield,W,C,319300,5.48,57831,7.46,262320,0.7440000000000001,0.562,42044,0.557,61125,0.584,103169,0.573,158943,0.555,1.9,Mono-color,Common
Thunder Lasso,W,U,132166,5.92,16921,8.62,45532,0.45,0.54,7211,0.521,10398,0.541,17609,0.5329999999999999,27834,0.5429999999999999,-1,Mono-color,Uncommon
Trained Arynx,W,C,263522,4.46,62231,5.61,336000,0.878,0.5660000000000001,60535,0.596,74395,0.551,134930,0.5710000000000001,196988,0.562,0.9,Mono-color,Common
Vengeful Townsfolk,W,C,348332,6.32,43593,9.32,139491,0.532,0.547,24102,0.544,31895,0.54,55997,0.542,83569,0.551,-0.9,Mono-color,Common
Wanted Griffin,W,C,356425,6.56,44273,9.66,119312,0.44799999999999995,0.547,19303,0.5329999999999999,28184,0.556,47487,0.547,71930,0.547,0,Mono-color,Common
Archmage's Newt,U,R,40883,3.87,7097,5.2,27239,0.669,0.509,4730,0.524,7236,0.516,11966,0.519,15148,0.501,1.9,Mono-color,Rare
Canyon Crab,U,U,117914,5.02,22442,6.63,97240,0.743,0.523,17330,0.535,26353,0.544,43683,0.541,53245,0.508,3.3,Mono-color,Uncommon
Daring Thunder-Thief,U,C,378592,7.92,44121,11.41,49733,0.193,0.49700000000000005,8055,0.484,13391,0.518,21446,0.505,28200,0.49,1.5,Mono-color,Common
Deepmuck Desperado,U,U,113131,5,20286,6.61,77882,0.67,0.505,13798,0.495,21874,0.536,35672,0.52,42053,0.491,2.9,Mono-color,Uncommon
Djinn of Fool's Fall,U,C,368647,7.33,41988,10.76,76657,0.316,0.491,12394,0.478,20750,0.515,33144,0.501,43414,0.48200000000000004,1.9,Mono-color,Common
Double Down,U,M,15478,3.38,3900,3.66,12722,0.5670000000000001,0.508,2183,0.546,3392,0.535,5575,0.539,7049,0.48200000000000004,5.7,Mono-color,Mythic Rare
Duelist of the Mind,U,R,25707,2.58,9636,2.76,49819,0.873,0.537,8844,0.588,13856,0.5720000000000001,22700,0.578,27004,0.501,7.7,Mono-color,Rare
Emergent Haunting,U,U,122262,5.33,20883,7.07,75904,0.629,0.51,13436,0.525,20927,0.516,34363,0.52,41427,0.501,1.8,Mono-color,Uncommon
Failed Fording,U,C,368456,7.29,48270,10.44,108353,0.384,0.51,18116,0.493,30250,0.551,48366,0.529,59526,0.494,3.5,Mono-color,Common
"Fblthp, Lost on the Range",U,R,34718,3.5,6516,4.3,25220,0.688,0.484,4208,0.451,7107,0.494,11315,0.478,13815,0.48700000000000004,-0.9,Mono-color,Rare
Fleeting Reflection,U,U,152171,7.65,16539,11.35,9004,0.09300000000000001,0.47,1387,0.442,2440,0.502,3827,0.48,5139,0.461,1.9,Mono-color,Uncommon
"Geralf, the Fleshwright",U,M,7945,1.71,4497,1.67,23675,0.892,0.529,4094,0.556,6574,0.5720000000000001,10668,0.5660000000000001,12924,0.498,6.8,Mono-color,Mythic Rare
Geyser Drake,U,C,341408,6.42,41360,9.34,123167,0.517,0.503,21331,0.493,33145,0.526,54476,0.513,68479,0.495,1.8,Mono-color,Common
Harrier Strix,U,C,369025,7.53,41001,10.99,66453,0.28,0.499,11440,0.501,17686,0.536,29126,0.522,37161,0.48,4.2,Mono-color,Common
Jailbreak Scheme,U,C,368478,7.19,55030,10,146258,0.45,0.5329999999999999,24124,0.516,40758,0.578,64882,0.555,80643,0.513,4.2,Mono-color,Common
The Key to the Vault,U,R,50541,5.1,5652,7.87,6020,0.18600000000000003,0.45899999999999996,998,0.414,1546,0.46,2544,0.442,3441,0.47100000000000003,-3,Mono-color,Rare
Loan Shark,U,C,320957,5.62,48319,7.95,203769,0.722,0.52,33876,0.517,56909,0.551,90785,0.5379999999999999,112544,0.505,3.3,Mono-color,Common
Marauding Sphinx,U,U,80177,3.41,22345,4.01,113998,0.862,0.536,18530,0.55,32461,0.586,50991,0.573,62701,0.504,6.9,Mono-color,Uncommon
Metamorphic Blast,U,U,121983,5.19,20949,7.05,87412,0.7070000000000001,0.53,14286,0.517,24590,0.5770000000000001,38876,0.555,48108,0.507,4.8,Mono-color,Uncommon
Nimble Brigand,U,U,95272,4.02,20420,5.04,97537,0.825,0.517,17022,0.53,26748,0.541,43770,0.537,53606,0.501,3.6,Mono-color,Uncommon
Outlaw Stitcher,U,U,89666,3.79,22030,4.66,106421,0.835,0.516,17446,0.512,29220,0.55,46666,0.536,59448,0.499,3.7,Mono-color,Uncommon
Peerless Ropemaster,U,C,380342,7.98,45511,11.47,55228,0.20600000000000002,0.522,8576,0.515,15428,0.555,24004,0.541,31127,0.506,3.5,Mono-color,Common
Phantom Interference,U,C,332591,5.97,51025,8.33,200300,0.669,0.53,34741,0.5429999999999999,55135,0.57,89876,0.56,109510,0.505,5.5,Mono-color,Common
Plan the Heist,U,U,132575,5.82,21421,8,73306,0.578,0.535,11953,0.527,20463,0.58,32416,0.561,40704,0.514,4.6,Mono-color,Uncommon
Razzle-Dazzler,U,C,352470,6.99,42875,10.01,103167,0.419,0.49200000000000005,18045,0.48700000000000004,28052,0.513,46097,0.503,56873,0.483,2,Mono-color,Common
Seize the Secrets,U,C,366759,7.22,45986,10.45,94563,0.353,0.513,16164,0.503,26103,0.5479999999999999,42267,0.531,52061,0.49700000000000005,3.4,Mono-color,Common
Shackle Slinger,U,U,136667,6.32,15585,9.28,31616,0.354,0.48200000000000004,5294,0.473,8534,0.514,13828,0.498,17742,0.469,2.9,Mono-color,Uncommon
Shifting Grift,U,U,151828,7.68,16357,11.42,6796,0.071,0.46299999999999997,1073,0.435,1881,0.48200000000000004,2954,0.465,3822,0.46,0.4,Mono-color,Uncommon
Slickshot Lockpicker,U,U,91622,3.8,24241,4.64,121889,0.858,0.528,20427,0.504,34508,0.5820000000000001,54935,0.5529999999999999,66343,0.505,4.8,Mono-color,Uncommon
Slickshot Vault-Buster,U,C,381430,8.24,44259,11.75,41871,0.162,0.485,7082,0.465,11367,0.499,18449,0.486,23331,0.484,0.2,Mono-color,Common
Spring Splasher,U,C,372341,7.64,45247,10.89,80879,0.308,0.489,14029,0.498,21341,0.49700000000000005,35370,0.49700000000000005,45298,0.48200000000000004,1.5,Mono-color,Common
Step Between Worlds,U,R,65109,6.28,7932,9.6,1622,0.035,0.45299999999999996,249,NA,458,NA,707,0.47,910,0.43799999999999994,3.1,Mono-color,Rare
Stoic Sphinx,U,R,18792,1.96,9710,1.97,52534,0.9,0.547,8850,0.588,14691,0.603,23541,0.598,28638,0.505,9.3,Mono-color,Rare
Stop Cold,U,C,350340,6.6,44218,9.63,129171,0.501,0.512,20736,0.479,35782,0.5579999999999999,56518,0.529,72223,0.49700000000000005,3.2,Mono-color,Common
Take the Fall,U,C,358754,6.87,57490,9.4,188732,0.557,0.528,32057,0.522,53244,0.5720000000000001,85301,0.5529999999999999,102657,0.507,4.6,Mono-color,Common
This Town Ain't Big Enough,U,U,124728,5.33,22857,7.18,89917,0.6779999999999999,0.518,14132,0.493,25300,0.564,39432,0.539,50115,0.499,4,Mono-color,Uncommon
Three Steps Ahead,U,R,26198,2.62,8939,2.86,45502,0.856,0.535,7502,0.536,12970,0.605,20472,0.58,24751,0.496,8.4,Mono-color,Rare
Visage Bandit,U,U,117397,4.96,19900,6.78,77894,0.675,0.513,12879,0.499,21291,0.539,34170,0.524,43543,0.503,2.1,Mono-color,Uncommon
Ambush Gigapede,B,C,353374,6.5,56899,9.1,200806,0.5920000000000001,0.54,30291,0.5329999999999999,52538,0.579,82829,0.562,117417,0.524,3.8,Mono-color,Common
Binding Negotiation,B,U,132915,5.75,20988,8.11,68357,0.55,0.529,11737,0.537,17722,0.55,29459,0.545,38747,0.517,2.8,Mono-color,Uncommon
Blacksnag Buzzard,B,C,363578,6.95,43255,10.27,84771,0.33299999999999996,0.512,14682,0.493,20866,0.515,35548,0.506,49187,0.516,-1.1,Mono-color,Common
Blood Hustler,B,U,68007,2.89,21753,3.37,118753,0.922,0.537,21364,0.544,30906,0.5670000000000001,52270,0.557,66373,0.52,3.7,Mono-color,Uncommon
Boneyard Desecrator,B,C,367330,7.2,42498,10.67,70359,0.282,0.507,11199,0.488,17390,0.524,28589,0.51,41807,0.505,0.5,Mono-color,Common
Caustic Bronco,B,R,17915,1.86,10427,1.9,57595,0.922,0.547,10417,0.629,14553,0.556,24970,0.586,32374,0.516,7,Mono-color,Rare
Consuming Ashes,B,C,215823,3.69,62012,4.44,336563,0.903,0.5479999999999999,55213,0.544,88623,0.595,143836,0.5760000000000001,191590,0.527,4.9,Mono-color,Common
Corrupted Conviction,B,C,379949,7.88,45097,11.41,48070,0.18,0.523,7732,0.518,11787,0.526,19519,0.523,28511,0.522,0.1,Mono-color,Common
Desert's Due,B,C,238050,3.96,67050,4.89,360607,0.892,0.5489999999999999,62614,0.55,94121,0.589,156735,0.573,202620,0.529,4.4,Mono-color,Common
Desperate Bloodseeker,B,C,290396,4.78,63609,6.36,331861,0.871,0.547,59135,0.5660000000000001,83850,0.565,142985,0.565,188453,0.5329999999999999,3.3,Mono-color,Common
Fake Your Own Death,B,C,370513,7.23,50207,10.41,98338,0.33,0.5329999999999999,15602,0.532,24519,0.56,40121,0.5489999999999999,58048,0.521,2.8,Mono-color,Common
Forsaken Miner,B,U,108675,4.54,17568,6.24,77265,0.7440000000000001,0.531,13825,0.581,18345,0.514,32170,0.5429999999999999,45052,0.522,2.1,Mono-color,Uncommon
"Gisa, the Hellraiser",B,M,5919,1.27,4769,1.25,27287,0.9420000000000001,0.555,4658,0.599,7184,0.623,11842,0.614,14970,0.506,10.8,Mono-color,Mythic Rare
Hollow Marauder,B,U,74799,3.24,29184,3.59,162523,0.914,0.5579999999999999,25813,0.5539999999999999,42525,0.615,68338,0.5920000000000001,93265,0.532,6,Mono-color,Uncommon
Insatiable Avarice,B,R,43886,4.18,5875,6.08,15178,0.44299999999999995,0.517,2484,0.484,3915,0.56,6399,0.531,8737,0.506,2.4,Mono-color,Rare
"Kaervek, the Punisher",B,R,22252,2.29,8225,2.43,41414,0.873,0.514,7049,0.493,10720,0.53,17769,0.515,23513,0.512,0.3,Mono-color,Rare
Lively Dirge,B,U,123651,5.28,22007,7.19,78921,0.6,0.542,12626,0.523,20140,0.583,32766,0.56,45908,0.529,3.1,Mono-color,Uncommon
Mourner's Surprise,B,C,338709,5.96,63395,8.12,254275,0.6679999999999999,0.547,40931,0.527,64792,0.583,105723,0.561,148036,0.537,2.4,Mono-color,Common
Neutralize the Guards,B,U,151578,7.31,18179,10.73,14915,0.139,0.508,2489,0.5,3702,0.539,6191,0.523,8695,0.496,2.7,Mono-color,Uncommon
Nezumi Linkbreaker,B,C,361443,6.93,47833,9.97,119461,0.42100000000000004,0.536,20868,0.556,29107,0.5429999999999999,49975,0.5489999999999999,69419,0.527,2.2,Mono-color,Common
Overzealous Muscle,B,C,375020,7.56,44190,11.09,68613,0.264,0.5,10503,0.474,17546,0.51,28049,0.496,40596,0.502,-0.6,Mono-color,Common
Pitiless Carnage,B,R,63645,6.12,7536,9.46,2074,0.046,0.466,329,NA,533,0.475,862,0.451,1209,0.47600000000000003,-2.5,Mono-color,Rare
Rakish Crew,B,U,119443,5.28,17218,7.35,53276,0.535,0.507,9048,0.47700000000000004,13145,0.53,22193,0.508,31015,0.507,0.2,Mono-color,Uncommon
Rattleback Apothecary,B,U,93847,3.83,18297,5.09,92637,0.86,0.531,16069,0.524,23529,0.556,39598,0.5429999999999999,53003,0.523,2,Mono-color,Uncommon
Raven of Fell Omens,B,C,301976,5.15,49430,7.27,222604,0.767,0.526,39585,0.528,57045,0.546,96630,0.539,125649,0.516,2.2,Mono-color,Common
Rictus Robber,B,U,96169,3.91,22179,5.08,112754,0.861,0.534,19183,0.534,28609,0.5529999999999999,47792,0.546,64851,0.526,2,Mono-color,Uncommon
Rooftop Assassin,B,C,334855,5.83,48026,8.53,189468,0.667,0.532,30333,0.523,48652,0.5660000000000001,78985,0.55,110260,0.519,3.1,Mono-color,Common
Rush of Dread,B,R,22247,2.31,10410,2.37,55866,0.8909999999999999,0.55,9184,0.552,14552,0.622,23736,0.595,31709,0.514,8,Mono-color,Rare
Servant of the Stinger,B,U,92471,3.69,23414,4.65,125022,0.893,0.546,22158,0.561,31914,0.5660000000000001,54072,0.564,70796,0.531,3.3,Mono-color,Uncommon
