name,color,rarity_full,number_gih,gih_wr,gp_wr,gns_wr,iwd,ata,alsa
Vraska Joins Up,BG,Rare,1208,0.436,0.458,0.47,-3.4,8.82,5.62
The Key to the Vault,U,Rare,2544,0.442,0.459,0.471,-3,7.87,5.1
Magebane Lizard,R,Uncommon,3186,0.462,0.494,0.514,-5.2,11.35,7.48
Shifting Grift,U,Uncommon,2954,0.465,0.463,0.46,0.4,11.42,7.68
Imp's Mischief,B,Rare,2350,0.474,0.477,0.48,-0.6,8.18,5.38
"Fblthp, Lost on the Range",U,Rare,11315,0.478,0.484,0.487,-0.9,4.3,3.5
Brimstone Roundup,R,Uncommon,11272,0.479,0.482,0.483,-0.5,9.37,6.39
Rodeo Pyromancers,R,Common,13343,0.479,0.48,0.481,-0.2,11.48,7.61
Fleeting Reflection,U,Uncommon,3827,0.48,0.47,0.461,1.9,11.35,7.65
High Noon,W,Rare,1232,0.481,0.49,0.495,-1.4,9.04,5.77
Tinybones Joins Up,B,Rare,1953,0.483,0.479,0.475,0.8,8.18,5.2
Caught in the Crossfire,R,Uncommon,7429,0.485,0.496,0.503,-1.8,9.95,6.63
Slickshot Vault-Buster,U,Common,18449,0.486,0.485,0.484,0.2,11.75,8.24
Return the Favor,R,Uncommon,6911,0.486,0.496,0.502,-1.6,10.42,7.03
Transmutation Font,Colorless/Other,Mythic Rare,2210,0.486,0.496,0.503,-1.8,6.35,4.41
