color,card_count,average_gih_wr,median_gih_wr,average_gp_wr,average_iwd,average_ata,average_alsa
WG,6,0.601,0.596,0.5691666666666667,5.483333333333333,2.935,2.68
RG,5,0.57475,0.567,0.5362,3.825,5.88,4.288
UG,8,0.5715,0.554,0.535625,6.525,5.16875,3.86
G,49,0.5692127659574469,0.5670000000000001,0.552125,2.74468085106383,4.985510204081633,3.7520408163265304
UBR,3,0.569,0.569,0.4806666666666667,8.65,6.286666666666667,4.693333333333333
WB,7,0.5625,0.565,0.539,4.066666666666666,6.638571428571429,4.857142857142858
WR,6,0.5568333333333333,0.5495000000000001,0.5403333333333333,2.7666666666666666,5.821666666666667,4.351666666666667
WRG,3,0.5546666666666668,0.536,0.5416666666666666,2.1333333333333333,4.803333333333333,3.67
BG,8,0.551375,0.565,0.5337500000000001,3.175,4.76875,3.69
W,49,0.550063829787234,0.5529999999999999,0.5437708333333333,1.0787234042553193,6.193673469387755,4.477142857142857
BR,8,0.549625,0.535,0.52425,4.525,4.88375,3.76375
B,49,0.5493958333333333,0.5489999999999999,0.530875,3.325,6.033265306122449,4.422448979591837
WU,6,0.5415,0.5305,0.5168333333333334,4.483333333333333,5.776666666666667,4.383333333333334
UR,7,0.5354285714285715,0.54,0.508,5.1571428571428575,6.777142857142858,4.982857142857143
UB,6,0.534,0.541,0.5108333333333334,4.4,5.555,4.33
Colorless/Other,46,0.5319545454545455,0.538,0.5299111111111111,0.4340909090909091,6.8847826086956525,4.919782608695653
U,51,0.5300416666666666,0.5365,0.5071960784313726,3.8145833333333337,7.243333333333333,5.227058823529412
R,50,0.5265744680851064,0.528,0.5209574468085106,1.0127659574468084,7.048979591836734,4.9596
WUG,3,0.5066666666666667,0.551,0.5006666666666667,1.2666666666666666,7.43,5.16
