name,color,rarity_full,number_gih,gih_wr,gp_wr,gns_wr,iwd,ata,alsa
"Bonny Pall, Clearcutter",UG,Rare,27790,0.662,0.574,0.5,16.3,1.58,1.64
Railway Brawler,G,Mythic Rare,12843,0.6509999999999999,0.58,0.525,12.6,1.22,1.23
Overwhelming Forces,B,Mythic Rare,7637,0.649,0.574,0.513,13.6,2.19,2.23
Vaultborn Tyrant,G,Mythic Rare,9074,0.6409999999999999,0.579,0.531,11,1.36,1.36
"Oko, Thief of Crowns",UG,Mythic Rare,7176,0.6409999999999999,0.569,0.512,12.8,1.3,1.3
"Rakdos, the Muscle",BR,Mythic Rare,11915,0.64,0.562,0.49700000000000005,14.3,1.58,1.63
"Roxanne, Starfall Savant",RG,Rare,25488,0.637,0.574,0.528,11,1.62,1.65
"Bristly Bill, Spine Sower",G,Mythic Rare,12696,0.635,0.58,0.5379999999999999,9.7,1.28,1.28
Seraphic Steed,WG,Rare,23458,0.628,0.5760000000000001,0.5379999999999999,9,2.05,2.06
Ornery Tumblewagg,G,Rare,25951,0.625,0.575,0.5379999999999999,8.8,1.4,1.4
Fractured Identity,WU,Mythic Rare,8100,0.624,0.5589999999999999,0.507,11.8,2.18,2.2
Collector's Cage,W,Mythic Rare,10072,0.623,0.5770000000000001,0.541,8.3,1.76,1.75
Hostile Investigator,B,Mythic Rare,10071,0.623,0.57,0.529,9.4,1.69,1.65
Bristlebud Farmer,G,Mythic Rare,9632,0.623,0.5760000000000001,0.54,8.3,1.45,1.45
"Selvala, Eager Trailblazer",WG,Mythic Rare,11990,0.621,0.564,0.523,9.8,1.46,1.47
