name,color,rarity_full,number_gih,gih_wr,gns_wr,iwd,ata,alsa
"Bonny Pall, Clearcutter",UG,Rare,27790,0.662,0.5,16.3,1.58,1.64
"Rakdos, the Muscle",BR,Mythic Rare,11915,0.64,0.49700000000000005,14.3,1.58,1.63
Overwhelming Forces,B,Mythic Rare,7637,0.649,0.513,13.6,2.19,2.23
"Oko, Thief of Crowns",UG,Mythic Rare,7176,0.6409999999999999,0.512,12.8,1.3,1.3
Railway Brawler,G,Mythic Rare,12843,0.6509999999999999,0.525,12.6,1.22,1.23
Cruel Ultimatum,UBR,Rare,8155,0.604,0.48,12.5,5.48,4.55
Fractured Identity,WU,Mythic Rare,8100,0.624,0.507,11.8,2.18,2.2
"Roxanne, Starfall Savant",RG,Rare,25488,0.637,0.528,11,1.62,1.65
Vaultborn Tyrant,G,Mythic Rare,9074,0.6409999999999999,0.531,11,1.36,1.36
"Gisa, the Hellraiser",B,Mythic Rare,11842,0.614,0.506,10.8,1.25,1.27
"Selvala, Eager Trailblazer",WG,Mythic Rare,11990,0.621,0.523,9.8,1.46,1.47
Mana Drain,U,Mythic Rare,6186,0.596,0.498,9.8,2.42,2.36
"Bristly Bill, Spine Sower",G,Mythic Rare,12696,0.635,0.5379999999999999,9.7,1.28,1.28
Terror of the Peaks,R,Mythic Rare,10383,0.597,0.503,9.4,1.25,1.27
Hostile Investigator,B,Mythic Rare,10071,0.623,0.529,9.4,1.69,1.65
